"","Group","Condition","targetSP","Block","Subject","efficacy","latency","precision","val","warnings","valGuessing","pLRtest"
"1",1,"one_day",4,7,10,0.714285058503106,0.325638661747175,0.168232050760633,12.4801644217769,"None",22.1807084979184,0.00022585318380223
"2",1,"one_day",4,7,11,0.882202440708386,-0.692405905524095,0.715086323713127,17.5692852899905,"None",30.4984741846377,1.02112638285892e-05
"3",1,"one_day",4,7,12,0.619037481151309,0.320607159791679,0.166760471601092,16.3491677189564,"None",24.9532970601581,0.00064034947472753
"4",1,"one_day",4,7,13,1,-0.368339943932287,1.03409724632308,16.3144913966289,"None",30.4984741846377,3.04018543194725e-06
"5",1,"one_day",4,7,14,0.644444080916176,0.310357879006056,1e-05,18.4703689039519,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",33.2710627468775,1.67389307537246e-06
"6",1,"one_day",4,7,15,0.253333875572313,0.425591729799849,1e-05,25.0649928282698,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",27.7258856223979,0.149694987459191
"7",1,"one_day",4,7,16,1,-0.3496493544974,0.112607806882295,3.35099685093106,"None",30.4984741846377,9.70753324751984e-12
"8",1,"one_day",7,7,10,1,0.0830400998135094,0.569018228018738,11.6606894772291,"None",33.2710627468775,2.2092305901036e-09
"9",1,"one_day",7,7,11,0.887756528123811,-0.105338747100152,0.456012225822721,13.9481397926109,"None",30.4984741846377,3.06698224441289e-07
"10",1,"one_day",7,7,12,1,-0.260264438399831,2.99929976096552,19.6002085875083,"None",22.1807084979184,0.160380494053431
"11",1,"one_day",7,7,13,0.896673560336732,-0.187686552835188,0.489453330839482,15.5166632914927,"None",33.2710627468775,9.51090267183164e-08
"12",1,"one_day",7,7,14,0.904758769088702,0.280129018654741,0.160627343820631,9.43209075517727,"None",33.2710627468775,2.49346380955053e-10
"13",1,"one_day",7,7,15,0.768339889310186,-0.355603012295109,0.570251289379756,19.3833521485348,"None",30.4984741846377,5.84167932866975e-05
"14",1,"one_day",7,7,16,0.688311118323392,0.37409762318886,0.17493259359189,18.8613323924811,"None",30.4984741846377,3.54009645477984e-05
"15",1,"one_day",10,7,10,0.657232324647895,-0.278020685128748,0.557850274740312,22.1029133646996,"None",30.4984741846377,0.000780200326829924
"16",1,"one_day",10,7,11,1,-0.200027244807946,0.523985861431323,9.07071224399821,"None",27.7258856223979,3.95567290263348e-08
"17",1,"one_day",10,7,12,0.771428235200947,-0.559109872388184,0.178641264398603,15.5746437471477,"None",27.7258856223979,2.15986662694306e-05
"18",1,"one_day",10,7,13,0.644444250059815,0.166553636650253,1e-05,18.4703689039488,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",33.2710627468775,1.67389307536748e-06
"19",1,"one_day",10,7,14,1,-0.0164806443816272,1.00000000000655e-05,-1.19999998670703e-07,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",33.2710627468775,2.34657727487241e-14
"20",1,"one_day",10,7,15,1,1.40154828738902e-07,0.432545406614564,5.88932899352235,"None",22.1807084979184,3.94403828133672e-07
"21",1,"one_day",10,7,16,0.680000188032099,-0.457757174644895,1e-05,14.2327920238558,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",27.7258856223979,5.92674170447858e-06
"22",1,"one_day",13,7,10,0.806060859563708,0.237609575059556,1e-05,10.6316310858413,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",30.4984741846377,1.21339916258339e-08
"23",1,"one_day",13,7,11,0.515151483756834,0.496601625660589,1e-05,21.1193508687547,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",30.4984741846377,0.000306738426560099
"24",1,"one_day",13,7,12,1,-0.198540262643983,0.685656946348501,11.2751563235099,"None",27.7258856223979,3.37855833146927e-07
"25",1,"one_day",13,7,13,0.839370614940269,-0.355069378380488,1.66438040712874,26.7110595052167,"None",33.2710627468775,0.00438414255508345
"26",1,"one_day",13,7,14,1,-0.410605006516881,0.0697537084226338,3.25082953534386,"None",27.7258856223979,1.33674982637309e-10
"27",1,"one_day",13,7,15,0.714278507136333,0.418380340992564,0.0613321469501797,17.8046807200777,"None",33.2710627468775,8.78213180042298e-07
"28",1,"one_day",13,7,16,1,0.290735764343186,0.163290340302135,3.25083594428941,"None",27.7258856223979,1.33675822528544e-10
